capture,requestType,model,live,inputTokens,outputTokens,totalTokens,cachedTokens,latencyMs,requestChars,estimatedInputTokens,canonicalTruthChars,currentTruthObjects,historyCount,projectBlockChars,captureContextChars,captureContextHistoryChars
1,capture_extract,gpt-4o-mini-2024-07-18,true,956,261,1217,0,4775,4251,923,275,3,1,275,1701,44
1,ask,gpt-4o-mini-2024-07-18,true,735,55,790,,1167,896,253,896,3,1,0,896,0
1,ask,gpt-4o-mini-2024-07-18,true,736,57,793,,1285,895,254,895,3,1,0,895,0
1,ask,gpt-4o-mini-2024-07-18,true,733,54,787,,743,879,251,879,3,1,0,879,0
1,ask,gpt-4o-mini-2024-07-18,true,735,86,821,,922,897,253,897,3,1,0,897,0
1,ask,gpt-4o-mini-2024-07-18,true,784,53,837,,713,1055,303,1055,3,1,0,1055,0
1,analyse_probe,gpt-4o-mini-2024-07-18,true,949,215,1164,,2377,4225,914,275,3,1,275,4225,0
2,capture_extract,gpt-4o-mini-2024-07-18,true,950,350,1300,0,3665,4231,916,275,3,1,275,1701,44
3,capture_extract,gpt-4o-mini-2024-07-18,true,951,164,1115,0,1681,4224,918,275,3,1,275,1701,44
4,capture_extract,gpt-4o-mini-2024-07-18,true,949,331,1280,0,3517,4227,915,275,3,1,275,1701,44
5,capture_extract,gpt-4o-mini-2024-07-18,true,949,200,1149,0,2000,4216,914,275,3,1,275,1701,44
6,capture_extract,gpt-4o-mini-2024-07-18,true,949,242,1191,0,2941,4230,914,275,3,1,275,1701,44
7,capture_extract,gpt-4o-mini-2024-07-18,true,988,335,1323,0,4353,4367,956,351,4,2,351,2388,175
8,capture_extract,gpt-4o-mini-2024-07-18,true,1029,343,1372,0,3476,4442,994,425,7,5,425,4500,833
9,capture_extract,gpt-4o-mini-2024-07-18,true,1080,119,1199,0,1666,4506,1045,589,11,8,589,6727,1468
10,capture_extract,gpt-4o-mini-2024-07-18,true,1117,124,1241,0,2365,4592,1082,672,12,9,672,7178,1566
10,ask,gpt-4o-mini-2024-07-18,true,1075,56,1131,,740,1670,594,1670,12,9,0,1670,0
10,ask,gpt-4o-mini-2024-07-18,true,1076,84,1160,,845,1669,595,1669,12,9,0,1669,0
10,ask,gpt-4o-mini-2024-07-18,true,1073,56,1129,,859,1653,592,1653,12,9,0,1653,0
10,ask,gpt-4o-mini-2024-07-18,true,1075,126,1201,,1314,1671,594,1671,12,9,0,1671,0
10,ask,gpt-4o-mini-2024-07-18,true,1485,162,1647,,1419,3130,1006,3130,12,9,0,3130,0
10,analyse_probe,gpt-4o-mini-2024-07-18,true,1124,183,1307,,1871,4622,1089,672,12,9,672,4622,0
11,capture_extract,gpt-4o-mini-2024-07-18,true,1148,455,1603,0,4977,4687,1114,672,12,9,672,7178,1566
12,capture_extract,gpt-4o-mini-2024-07-18,true,1170,270,1440,0,2480,4727,1135,748,13,10,748,7713,1781
13,capture_extract,gpt-4o-mini-2024-07-18,true,1178,244,1422,0,2290,4792,1143,748,13,10,748,7713,1781
14,capture_extract,gpt-4o-mini-2024-07-18,true,1168,322,1490,0,2924,4737,1133,748,13,10,748,7713,1781
15,capture_extract,gpt-4o-mini-2024-07-18,true,1169,185,1354,0,1649,4735,1135,748,13,11,748,7853,1931
16,capture_extract,gpt-4o-mini-2024-07-18,true,1158,116,1274,0,1405,4682,1123,748,13,11,748,7853,1931
17,capture_extract,gpt-4o-mini-2024-07-18,true,1203,285,1488,0,2883,4792,1168,824,14,12,824,8235,1943
18,capture_extract,gpt-4o-mini-2024-07-18,true,1196,254,1450,0,2497,4768,1161,824,14,12,824,8148,1851
19,capture_extract,gpt-4o-mini-2024-07-18,true,1199,121,1320,0,1401,4803,1163,824,14,12,824,8235,1943
20,capture_extract,gpt-4o-mini-2024-07-18,true,1204,314,1518,0,2843,4839,1171,824,14,12,824,8179,1877
21,capture_extract,gpt-4o-mini-2024-07-18,true,1215,249,1464,0,2292,4867,1180,824,14,12,824,8148,1851
22,capture_extract,gpt-4o-mini-2024-07-18,true,1197,126,1323,0,1607,4775,1163,824,14,12,824,8148,1851
23,capture_extract,gpt-4o-mini-2024-07-18,true,1201,227,1428,0,2483,4791,1168,824,14,12,824,8148,1851
24,capture_extract,gpt-4o-mini-2024-07-18,true,1230,208,1438,0,2638,4850,1195,899,15,13,899,8639,1975
25,capture_extract,gpt-4o-mini-2024-07-18,true,1256,505,1761,0,4455,4939,1222,899,15,13,899,8226,1569
25,ask,gpt-4o-mini-2024-07-18,true,1189,56,1245,,889,1902,708,1902,15,13,0,1902,0
25,ask,gpt-4o-mini-2024-07-18,true,1190,84,1274,,881,1901,709,1901,15,13,0,1901,0
25,ask,gpt-4o-mini-2024-07-18,true,1187,56,1243,,754,1885,706,1885,15,13,0,1885,0
25,ask,gpt-4o-mini-2024-07-18,true,1189,130,1319,,1345,1903,708,1903,15,13,0,1903,0
25,ask,gpt-4o-mini-2024-07-18,true,1639,170,1809,,1749,3359,1162,3359,15,13,0,3359,0
25,analyse_probe,gpt-4o-mini-2024-07-18,true,1229,310,1539,,2489,4849,1194,899,15,13,899,4849,0
25,analyse_probe,gpt-4o-mini-2024-07-18,true,1235,183,1418,,1659,4857,1200,899,15,13,899,4857,0
26,capture_extract,gpt-4o-mini-2024-07-18,true,1240,172,1412,0,1801,4858,1206,899,15,13,899,8639,1975
27,capture_extract,gpt-4o-mini-2024-07-18,true,1241,361,1602,0,2906,4912,1207,899,15,14,899,8538,1857
28,capture_extract,gpt-4o-mini-2024-07-18,true,1242,388,1630,0,3705,4897,1207,899,15,14,899,8698,2022
29,capture_extract,gpt-4o-mini-2024-07-18,true,1239,363,1602,0,5096,4902,1204,899,15,14,899,8401,1737
30,capture_extract,gpt-4o-mini-2024-07-18,true,1233,347,1580,0,4104,4869,1199,899,15,14,899,8476,1807
31,capture_extract,gpt-4o-mini-2024-07-18,true,1238,359,1597,0,3106,4901,1204,899,15,15,899,8473,1814
32,capture_extract,gpt-4o-mini-2024-07-18,true,1232,186,1418,0,2072,4850,1197,899,15,15,899,8445,1791
33,capture_extract,gpt-4o-mini-2024-07-18,true,1253,336,1589,0,3504,4957,1219,899,15,16,899,8345,1669
34,capture_extract,gpt-4o-mini-2024-07-18,true,1267,235,1502,0,2474,4938,1231,973,16,17,973,8701,1662
35,capture_extract,gpt-4o-mini-2024-07-18,true,1259,296,1555,0,2775,4919,1223,973,16,17,973,9062,1989
36,capture_extract,gpt-4o-mini-2024-07-18,true,1269,137,1406,0,1467,4950,1233,973,15,18,973,8636,1577
37,capture_extract,gpt-4o-mini-2024-07-18,true,1260,411,1671,0,3246,4915,1224,973,15,18,973,8939,1875
38,capture_extract,gpt-4o-mini-2024-07-18,true,1266,349,1615,0,3646,4929,1232,973,15,18,973,9111,2037
39,capture_extract,gpt-4o-mini-2024-07-18,true,1260,168,1428,0,1869,4904,1225,973,15,18,973,9024,1948
40,capture_extract,gpt-4o-mini-2024-07-18,true,1275,177,1452,0,2193,4966,1241,973,15,18,973,9079,2007
41,capture_extract,gpt-4o-mini-2024-07-18,true,1268,292,1560,0,2644,4959,1232,973,15,18,973,8827,1763
42,capture_extract,gpt-4o-mini-2024-07-18,true,1265,191,1456,0,1670,4934,1230,973,15,18,973,9074,1991
43,capture_extract,gpt-4o-mini-2024-07-18,true,1279,497,1776,0,4440,4978,1244,973,15,18,973,8770,1708
44,capture_extract,gpt-4o-mini-2024-07-18,true,1275,430,1705,0,4414,4990,1240,973,15,18,973,9042,1959
45,capture_extract,gpt-4o-mini-2024-07-18,true,1282,529,1811,0,4079,4983,1248,973,15,18,973,8952,1881
46,capture_extract,gpt-4o-mini-2024-07-18,true,1279,652,1931,0,5213,4982,1243,973,15,18,973,8944,1880
47,capture_extract,gpt-4o-mini-2024-07-18,true,1292,492,1784,0,3857,5065,1258,973,15,18,973,9064,1992
48,capture_extract,gpt-4o-mini-2024-07-18,true,1291,789,2080,0,10704,5051,1255,973,15,18,973,8674,1624
49,capture_extract,gpt-4o-mini-2024-07-18,true,1313,517,1830,0,4707,5086,1279,1057,16,19,1057,9125,1877
50,capture_extract,gpt-4o-mini-2024-07-18,true,1295,318,1613,0,2852,4991,1259,1057,16,19,1057,9217,1969
50,ask,gpt-4o-mini-2024-07-18,true,1222,90,1312,,1202,1982,740,1982,16,19,0,1982,0
50,ask,gpt-4o-mini-2024-07-18,true,1223,84,1307,,1118,1981,741,1981,16,19,0,1981,0
