capture,requestType,model,live,inputTokens,outputTokens,totalTokens,cachedTokens,latencyMs,requestChars,estimatedInputTokens,canonicalTruthChars,currentTruthObjects,historyCount,projectBlockChars,captureContextChars,captureContextHistoryChars
1,capture_extract,deterministic-oracle-envelope,false,,,,,6,2212,493,275,3,2,275,1661,44
1,ask_context,deterministic-oracle-envelope,false,,,,,2,969,282,969,4,3,0,969,0
1,ask_context,deterministic-oracle-envelope,false,,,,,1,968,283,968,4,3,0,968,0
1,ask_context,deterministic-oracle-envelope,false,,,,,0,952,280,952,4,3,0,952,0
1,ask_context,deterministic-oracle-envelope,false,,,,,0,970,282,970,4,3,0,970,0
1,ask_context,deterministic-oracle-envelope,false,,,,,1,1327,400,1327,4,3,0,1327,0
1,analyse_probe,deterministic-oracle-envelope,false,,,,,1,2261,519,350,4,3,350,2261,0
2,capture_extract,deterministic-oracle-envelope,false,,,,,1,2267,521,350,4,3,350,2349,195
3,capture_extract,deterministic-oracle-envelope,false,,,,,1,2336,553,426,5,4,426,3020,327
4,capture_extract,deterministic-oracle-envelope,false,,,,,1,2417,586,504,6,5,504,3691,454
5,capture_extract,deterministic-oracle-envelope,false,,,,,1,2482,619,580,7,6,580,4360,582
6,capture_extract,deterministic-oracle-envelope,false,,,,,1,2571,653,655,8,7,655,5014,698
7,capture_extract,deterministic-oracle-envelope,false,,,,,1,2708,696,731,9,8,731,5686,829
8,capture_extract,deterministic-oracle-envelope,false,,,,,1,2783,736,805,11,10,805,7250,1263
9,capture_extract,deterministic-oracle-envelope,false,,,,,1,2760,754,882,13,12,882,8406,1623
10,capture_extract,deterministic-oracle-envelope,false,,,,,2,2870,792,989,14,13,989,8587,1617
10,ask_context,deterministic-oracle-envelope,false,,,,,0,2144,729,2144,15,14,0,2144,0
10,ask_context,deterministic-oracle-envelope,false,,,,,0,2143,730,2143,15,14,0,2143,0
10,ask_context,deterministic-oracle-envelope,false,,,,,0,2127,727,2127,15,14,0,2127,0
10,ask_context,deterministic-oracle-envelope,false,,,,,0,2145,729,2145,15,14,0,2145,0
10,ask_context,deterministic-oracle-envelope,false,,,,,1,3143,1006,3143,15,14,0,3143,0
10,analyse_probe,deterministic-oracle-envelope,false,,,,,0,3010,835,1099,15,14,1099,3010,0
11,capture_extract,deterministic-oracle-envelope,false,,,,,3,3075,860,1099,15,14,1099,8773,1623
12,capture_extract,deterministic-oracle-envelope,false,,,,,1,3669,1059,1729,18,17,1729,9563,1609
13,capture_extract,deterministic-oracle-envelope,false,,,,,1,3903,1122,1898,19,18,1898,10182,1965
14,capture_extract,deterministic-oracle-envelope,false,,,,,1,4082,1180,2132,21,19,2132,10991,2016
15,capture_extract,deterministic-oracle-envelope,false,,,,,1,4080,1182,2132,21,19,2132,10795,1822
16,capture_extract,deterministic-oracle-envelope,false,,,,,1,4027,1170,2132,22,20,2132,10844,1507
17,capture_extract,deterministic-oracle-envelope,false,,,,,1,4137,1213,2208,23,21,2208,11411,1917
18,capture_extract,deterministic-oracle-envelope,false,,,,,1,4113,1206,2208,23,21,2208,11090,1610
19,capture_extract,deterministic-oracle-envelope,false,,,,,1,4282,1256,2342,24,22,2342,11621,1918
20,capture_extract,deterministic-oracle-envelope,false,,,,,1,4487,1317,2511,26,23,2511,12294,1971
